Date_to,PM10,PM2.5
2025-03-30 16:00:00,5,4
2025-03-30 17:00:00,6,4
2025-03-30 18:00:00,7,4
2025-03-30 19:00:00,9,6
2025-03-30 20:00:00,15,9
2025-03-30 21:00:00,17,12
2025-03-30 22:00:00,17,11
2025-03-30 23:00:00,15,10
2025-03-31 00:00:00,14,9
2025-03-31 01:00:00,12,8
2025-03-31 02:00:00,6,4
2025-03-31 03:00:00,7,5
2025-03-31 04:00:00,10,8
2025-03-31 05:00:00,6,4
2025-03-31 06:00:00,8,6
2025-03-31 07:00:00,5,3
2025-03-31 08:00:00,6,4
2025-03-31 09:00:00,9,4
2025-03-31 10:00:00,8,3
2025-03-31 11:00:00,7,2
2025-03-31 12:00:00,7,2
2025-03-31 13:00:00,7,2
2025-03-31 14:00:00,7,2
2025-03-31 15:00:00,8,2
2025-03-31 16:00:00,7,2
2025-03-31 17:00:00,4,2
2025-03-31 18:00:00,5,2
2025-03-31 19:00:00,5,2
2025-03-31 20:00:00,5,2
2025-03-31 21:00:00,5,2
2025-03-31 22:00:00,4,2
2025-03-31 23:00:00,3,2
2025-04-01 00:00:00,2,2
2025-04-01 01:00:00,2,2
2025-04-01 02:00:00,2,2
2025-04-01 03:00:00,2,2
2025-04-01 04:00:00,2,2
2025-04-01 05:00:00,2,2
2025-04-01 06:00:00,4,2
2025-04-01 07:00:00,5,2
2025-04-01 08:00:00,7,3
2025-04-01 09:00:00,9,4
2025-04-01 10:00:00,13,8
2025-04-01 11:00:00,20,14
2025-04-01 12:00:00,23,16
2025-04-01 13:00:00,27,17
2025-04-01 14:00:00,25,17
2025-04-01 15:00:00,20,15
2025-04-01 16:00:00,18,13
2025-04-01 17:00:00,15,10
2025-04-01 18:00:00,15,9
2025-04-01 19:00:00,12,8
2025-04-01 20:00:00,21,15
2025-04-01 21:00:00,23,16
2025-04-01 22:00:00,18,14
2025-04-01 23:00:00,11,9
2025-04-02 00:00:00,10,8
2025-04-02 01:00:00,10,8
2025-04-02 02:00:00,10,8
2025-04-02 03:00:00,12,10
2025-04-02 04:00:00,14,11
2025-04-02 05:00:00,15,13
2025-04-02 06:00:00,17,13
2025-04-02 07:00:00,17,12
2025-04-02 08:00:00,23,13
2025-04-02 09:00:00,25,13
2025-04-02 10:00:00,18,12
2025-04-02 11:00:00,17,11
2025-04-02 12:00:00,20,12
2025-04-02 13:00:00,25,13
2025-04-02 14:00:00,17,11
2025-04-02 15:00:00,22,12
2025-04-02 16:00:00,19,11
2025-04-02 17:00:00,20,11
2025-04-02 18:00:00,25,13
2025-04-02 19:00:00,21,13
2025-04-02 20:00:00,26,16
2025-04-02 21:00:00,27,18
2025-04-02 22:00:00,23,16
2025-04-02 23:00:00,21,15
2025-04-03 00:00:00,18,15
2025-04-03 01:00:00,18,16
2025-04-03 02:00:00,18,16
2025-04-03 03:00:00,19,16
2025-04-03 04:00:00,20,16
2025-04-03 05:00:00,18,15
2025-04-03 06:00:00,16,13
2025-04-03 07:00:00,15,11
2025-04-03 08:00:00,20,12
2025-04-03 09:00:00,22,12
2025-04-03 10:00:00,16,9
2025-04-03 11:00:00,20,10
2025-04-03 12:00:00,22,10
2025-04-03 13:00:00,25,10
2025-04-03 14:00:00,21,10
2025-04-03 15:00:00,19,8
2025-04-03 16:00:00,21,7
2025-04-03 17:00:00,18,6
2025-04-03 18:00:00,15,5
2025-04-03 19:00:00,16,5
2025-04-03 20:00:00,18,7
2025-04-03 21:00:00,26,11
2025-04-03 22:00:00,29,14
2025-04-03 23:00:00,28,16
2025-04-04 00:00:00,23,15
2025-04-04 01:00:00,20,10
2025-04-04 02:00:00,22,15
2025-04-04 03:00:00,15,8
2025-04-04 04:00:00,16,9
2025-04-04 05:00:00,17,9
2025-04-04 06:00:00,18,10
2025-04-04 07:00:00,17,9
