Date_to,PM10,PM2.5
2025-04-04 08:00:00,21,9
2025-04-04 09:00:00,27,10
2025-04-04 10:00:00,26,11
2025-04-04 11:00:00,20,9
2025-04-04 12:00:00,15,7
2025-04-04 13:00:00,12,6
2025-04-04 14:00:00,14,7
2025-04-04 15:00:00,15,7
2025-04-04 16:00:00,14,7
2025-04-04 17:00:00,13,6
2025-04-04 18:00:00,14,7
2025-04-04 19:00:00,16,7
2025-04-04 20:00:00,18,8
2025-04-04 21:00:00,35,20
2025-04-04 22:00:00,25,16
2025-04-04 23:00:00,18,11
2025-04-05 00:00:00,19,13
2025-04-05 01:00:00,21,14
2025-04-05 02:00:00,19,14
2025-04-05 03:00:00,16,12
2025-04-05 04:00:00,16,12
2025-04-05 05:00:00,15,10
2025-04-05 06:00:00,11,8
2025-04-05 07:00:00,12,8
2025-04-05 08:00:00,16,8
2025-04-05 09:00:00,14,8
2025-04-05 10:00:00,15,7
2025-04-05 11:00:00,12,6
2025-04-05 12:00:00,10,5
2025-04-05 13:00:00,11,5
2025-04-05 14:00:00,9,4
2025-04-05 15:00:00,10,5
2025-04-05 16:00:00,9,4
2025-04-05 17:00:00,9,4
2025-04-05 18:00:00,8,3
2025-04-05 19:00:00,11,4
2025-04-05 20:00:00,14,6
2025-04-05 21:00:00,20,8
2025-04-05 22:00:00,23,10
2025-04-05 23:00:00,16,6
2025-04-06 00:00:00,15,4
2025-04-06 01:00:00,10,3
2025-04-06 02:00:00,9,3
2025-04-06 03:00:00,7,3
2025-04-06 04:00:00,8,3
2025-04-06 05:00:00,12,4
2025-04-06 06:00:00,18,5
2025-04-06 07:00:00,21,5
2025-04-06 08:00:00,16,5
2025-04-06 09:00:00,17,6
2025-04-06 10:00:00,18,6
2025-04-06 11:00:00,22,6
2025-04-06 12:00:00,15,5
2025-04-06 13:00:00,13,4
2025-04-06 14:00:00,8,3
2025-04-06 15:00:00,9,3
