Date_to,PM10,PM2.5
2025-03-30 16:00:00,4,2
2025-03-30 17:00:00,4,3
2025-03-30 18:00:00,6,3
2025-03-30 19:00:00,7,4
2025-03-30 20:00:00,10,6
2025-03-30 21:00:00,24,16
2025-03-30 22:00:00,24,18
2025-03-30 23:00:00,28,23
2025-03-31 00:00:00,27,22
2025-03-31 01:00:00,21,16
2025-03-31 02:00:00,17,12
2025-03-31 03:00:00,10,6
2025-03-31 04:00:00,8,6
2025-03-31 05:00:00,9,5
2025-03-31 06:00:00,11,7
2025-03-31 07:00:00,12,8
2025-03-31 08:00:00,15,10
2025-03-31 09:00:00,14,10
2025-03-31 10:00:00,15,9
2025-03-31 11:00:00,7,2
2025-03-31 12:00:00,4,2
2025-03-31 13:00:00,3,2
2025-03-31 14:00:00,3,2
2025-03-31 15:00:00,4,2
2025-03-31 16:00:00,2,2
2025-03-31 17:00:00,3,2
2025-03-31 18:00:00,4,2
2025-03-31 19:00:00,4,3
2025-03-31 20:00:00,12,8
2025-03-31 21:00:00,30,24
2025-03-31 22:00:00,4,3
2025-03-31 23:00:00,2,2
2025-04-01 00:00:00,2,2
2025-04-01 01:00:00,2,2
2025-04-01 02:00:00,2,2
2025-04-01 03:00:00,2,2
2025-04-01 04:00:00,2,2
2025-04-01 05:00:00,2,2
2025-04-01 06:00:00,6,2
2025-04-01 07:00:00,6,2
2025-04-01 08:00:00,6,3
2025-04-01 09:00:00,6,4
2025-04-01 10:00:00,6,4
2025-04-01 11:00:00,8,7
2025-04-01 12:00:00,14,11
2025-04-01 13:00:00,20,15
2025-04-01 14:00:00,18,14
2025-04-01 15:00:00,16,13
2025-04-01 16:00:00,14,10
2025-04-01 17:00:00,12,10
2025-04-01 18:00:00,13,10
2025-04-01 19:00:00,13,10
2025-04-01 20:00:00,12,9
2025-04-01 21:00:00,11,9
2025-04-01 22:00:00,11,8
2025-04-01 23:00:00,10,8
2025-04-02 00:00:00,11,9
2025-04-02 01:00:00,11,9
2025-04-02 02:00:00,9,8
2025-04-02 03:00:00,8,7
2025-04-02 04:00:00,10,8
2025-04-02 05:00:00,13,10
2025-04-02 06:00:00,17,11
2025-04-02 07:00:00,13,10
2025-04-02 08:00:00,15,11
2025-04-02 09:00:00,16,12
2025-04-02 10:00:00,14,11
2025-04-02 11:00:00,13,10
2025-04-02 12:00:00,15,10
2025-04-02 13:00:00,12,8
2025-04-02 14:00:00,11,8
2025-04-02 15:00:00,13,9
2025-04-02 16:00:00,12,9
2025-04-02 17:00:00,13,9
2025-04-02 18:00:00,14,9
2025-04-02 19:00:00,15,10
2025-04-02 20:00:00,21,15
2025-04-02 21:00:00,30,24
2025-04-02 22:00:00,18,15
2025-04-02 23:00:00,21,17
2025-04-03 00:00:00,21,16
2025-04-03 01:00:00,19,15
2025-04-03 02:00:00,17,14
2025-04-03 03:00:00,17,13
2025-04-03 04:00:00,16,13
2025-04-03 05:00:00,18,13
2025-04-03 06:00:00,24,14
2025-04-03 07:00:00,26,16
2025-04-03 08:00:00,27,17
2025-04-03 09:00:00,28,18
2025-04-03 10:00:00,26,18
2025-04-03 11:00:00,18,12
2025-04-03 12:00:00,14,8
2025-04-03 13:00:00,14,7
2025-04-03 14:00:00,12,7
2025-04-03 15:00:00,13,7
2025-04-03 16:00:00,11,6
2025-04-03 17:00:00,12,6
2025-04-03 18:00:00,14,7
2025-04-03 19:00:00,17,9
2025-04-03 20:00:00,35,15
2025-04-03 21:00:00,38,18
2025-04-03 22:00:00,36,26
2025-04-03 23:00:00,34,25
2025-04-04 00:00:00,27,19
2025-04-04 01:00:00,23,16
2025-04-04 02:00:00,21,14
2025-04-04 03:00:00,20,14
2025-04-04 04:00:00,17,11
2025-04-04 05:00:00,16,10
2025-04-04 06:00:00,19,11
2025-04-04 07:00:00,20,12
2025-04-04 08:00:00,27,15
2025-04-04 09:00:00,28,16
2025-04-04 10:00:00,27,14
2025-04-04 11:00:00,26,12
2025-04-04 12:00:00,15,7
2025-04-04 13:00:00,11,6
2025-04-04 14:00:00,11,6
2025-04-04 15:00:00,11,6
2025-04-04 16:00:00,9,6
2025-04-04 17:00:00,10,6
2025-04-04 18:00:00,9,6
2025-04-04 19:00:00,9,6
2025-04-04 20:00:00,16,10
2025-04-04 21:00:00,26,19
2025-04-04 22:00:00,30,23
2025-04-04 23:00:00,30,24
2025-04-05 00:00:00,37,31
2025-04-05 01:00:00,22,18
2025-04-05 02:00:00,17,13
2025-04-05 03:00:00,15,11
2025-04-05 04:00:00,14,10
2025-04-05 05:00:00,13,10
2025-04-05 06:00:00,17,13
2025-04-05 07:00:00,20,15
2025-04-05 08:00:00,20,15
2025-04-05 09:00:00,20,13
2025-04-05 10:00:00,25,12
2025-04-05 11:00:00,16,9
2025-04-05 12:00:00,13,7
2025-04-05 13:00:00,13,7
2025-04-05 14:00:00,14,7
2025-04-05 15:00:00,11,6
2025-04-05 16:00:00,10,5
2025-04-05 17:00:00,8,5
2025-04-05 18:00:00,9,5
2025-04-05 19:00:00,19,11
2025-04-05 20:00:00,23,13
2025-04-05 21:00:00,28,18
2025-04-05 22:00:00,37,25
2025-04-05 23:00:00,35,25
2025-04-06 00:00:00,16,9
2025-04-06 01:00:00,16,7
2025-04-06 02:00:00,11,4
2025-04-06 03:00:00,10,3
2025-04-06 04:00:00,8,3
2025-04-06 05:00:00,8,3
2025-04-06 06:00:00,8,3
2025-04-06 07:00:00,11,4
2025-04-06 08:00:00,19,6
2025-04-06 09:00:00,21,6
2025-04-06 10:00:00,20,6
2025-04-06 11:00:00,19,6
2025-04-06 12:00:00,20,6
2025-04-06 13:00:00,15,5
2025-04-06 14:00:00,10,4
2025-04-06 15:00:00,6,3
