PM10,PM2.5
9,5
9,6
10,6
11,6
10,7
10,7
10,7
9,6
10,6
12,7
7,5
10,6
17,7
12,6
11,5
10,5
8,4
7,4
7,4
14,4
13,5
11,4
14,5
10,4
12,5
10,6
7,4
7,5
7,4
7,4
7,4
8,5
9,7
11,8
12,9
13,8
10,7
13,8
13,8
9,5
5,3
4,2
4,2
3,2
4,2
8,3
6,2
4,2
4,2
9,3
8,3
7,3
6,3
5,2
5,2
6,2
5,3
9,3
11,4
22,6
17,5
12,4
8,3
6,2
7,3
9,3
9,4
8,3
9,4
8,4
10,4
10,5
9,4
12,5
11,5
9,5
11,6
14,7
10,6
11,7
11,8
13,8
14,8
13,8
17,8
16,8
15,8
14,7
10,4
7,4
8,4
8,4
7,4
9,4
12,5
13,6
12,7
14,8
14,8
15,10
15,9
14,9
14,9
14,10
14,10
15,11
13,10
14,10
15,11
13,10
14,9
10,6
9,5
12,6
13,7
14,6
12,5
15,6
21,5
23,5
18,4
11,4
8,4
7,3
7,3
6,3
6,3
6,4
7,3
7,4
9,4
21,7
15,6
14,6
12,5
14,6
15,7
19,8
18,8
17,7
19,7
30,8
28,8
28,8
22,8
18,7
12,7
10,6
10,6
8,5
10,6
9,6
11,6
12,7
14,7
27,9
24,9
15,7
17,7
21,8
32,9
28,8
17,6
25,7
43,9
44,9
39,9
16,6
