PM10,PM2.5
9,5
9,6
15,10
11,8
11,8
10,7
10,6
9,6
9,5
8,5
9,5
8,4
8,4
8,4
10,5
10,5
9,5
8,4
7,4
8,4
8,4
8,5
8,5
9,6
8,4
6,3
8,4
10,5
5,3
5,3
5,2
5,2
5,2
5,2
7,2
6,3
6,3
6,4
4,3
4,2
4,2
3,2
3,2
5,2
4,2
5,2
6,2
7,2
8,2
7,3
7,3
8,3
7,4
7,3
7,3
7,3
6,3
7,3
8,4
9,4
11,6
12,6
11,5
8,3
6,3
5,2
5,2
4,2
5,2
6,2
5,3
6,3
7,4
9,5
9,5
10,6
8,5
8,5
8,5
7,4
7,4
9,5
8,5
7,4
8,4
10,5
8,4
6,4
7,4
7,4
6,4
7,3
6,3
7,4
19,9
26,13
8,4
12,7
15,9
11,7
10,6
9,6
9,5
8,5
9,5
8,5
8,5
8,5
9,5
10,6
9,6
10,6
10,6
8,5
9,6
9,5
9,5
8,5
10,5
10,6
10,7
11,7
13,9
10,7
10,7
10,7
10,6
10,6
10,7
10,6
10,7
11,7
12,7
10,6
10,5
10,5
9,5
10,5
11,5
12,6
12,6
11,6
10,5
10,5
12,7
11,6
9,5
7,4
8,5
7,4
6,4
6,4
7,4
8,5
11,6
18,10
13,7
10,5
10,5
11,6
10,5
11,5
10,5
10,4
10,5
10,5
10,5
10,5
