PM10,PM2.5
11,6
10,6
10,6
9,6
10,6
8,5
8,5
8,5
7,4
10,5
18,6
21,7
14,6
10,5
11,5
8,4
6,4
7,4
6,3
6,3
6,3
7,4
8,4
9,4
10,5
8,4
6,3
6,2
5,2
5,2
5,2
5,2
5,2
5,2
6,2
5,2
6,2
8,3
5,2
7,2
7,2
10,2
8,2
7,2
7,2
7,2
9,2
5,2
5,2
8,3
7,3
7,3
9,5
8,4
7,3
6,3
7,3
8,4
13,5
22,6
25,7
19,6
9,4
6,2
5,2
5,2
6,2
6,3
6,3
6,3
8,3
7,4
13,7
13,9
8,5
9,6
8,5
8,5
8,4
7,4
7,4
7,4
9,5
10,6
8,5
8,5
9,4
7,3
6,3
7,4
7,4
7,4
8,5
9,5
9,5
11,6
17,7
22,7
13,6
11,6
9,6
9,6
9,5
10,6
10,6
9,6
9,6
10,7
10,6
11,7
11,7
10,7
8,5
10,7
9,6
11,5
11,6
11,6
11,6
10,5
10,5
9,5
10,5
8,4
7,4
7,4
7,3
6,3
5,3
5,3
9,4
28,7
8,4
9,4
8,4
9,5
11,6
11,6
11,6
13,7
13,7
16,7
17,7
14,7
12,6
11,6
11,6
13,6
11,6
8,6
10,6
10,6
10,6
11,6
14,7
20,9
22,10
22,8
14,7
13,7
13,7
15,7
15,7
14,6
16,6
15,7
17,7
16,8
