PM10,PM2.5
9,5
9,6
12,8
11,7
10,7
10,7
10,7
10,7
10,7
12,7
14,8
20,10
19,10
30,14
16,8
9,5
9,4
14,5
17,5
10,5
13,6
11,5
12,7
20,12
15,8
12,7
11,7
8,5
7,5
8,5
9,7
9,8
8,7
10,7
9,5
7,5
13,8
10,5
4,2
3,2
5,2
5,2
6,2
6,2
8,2
8,3
5,2
9,3
9,4
10,5
11,6
9,6
8,5
9,5
8,4
6,3
8,4
11,5
12,6
16,7
20,9
19,7
10,5
7,3
8,4
8,4
11,4
10,4
12,5
10,4
12,5
11,5
13,5
14,6
12,7
10,6
10,6
9,6
9,6
10,7
11,7
11,8
10,8
11,9
13,10
12,9
12,8
9,5
9,5
10,5
7,4
11,6
13,7
14,7
13,7
13,6
13,6
15,8
14,7
13,7
13,8
11,8
11,8
11,8
12,8
12,9
12,9
15,12
14,12
22,16
13,8
10,6
10,6
9,6
10,7
10,7
10,7
11,7
10,6
9,6
10,7
13,9
14,10
14,10
14,10
15,10
15,11
14,11
16,12
15,11
12,7
11,6
11,6
12,6
12,6
13,6
13,6
12,7
15,7
13,7
12,6
11,6
12,7
11,7
12,7
10,6
9,6
8,5
7,5
8,5
9,5
8,5
7,5
9,5
10,6
12,6
12,6
15,6
13,6
11,6
14,6
13,6
12,6
11,6
12,6
13,7
12,8
13,8
