PM10,PM2.5
10,4
9,4
9,5
9,4
7,4
7,4
9,5
9,6
10,6
14,6
16,6
16,6
10,4
8,4
8,4
9,4
9,5
9,4
8,4
7,3
7,3
8,4
14,5
10,5
11,5
6,3
6,3
5,2
5,2
4,2
5,2
5,2
5,2
6,2
6,2
8,2
6,2
7,2
5,2
5,2
5,2
4,2
6,2
6,2
5,2
5,2
4,2
4,2
8,3
8,3
8,3
6,2
7,4
11,6
6,4
6,4
6,3
7,4
10,5
16,5
18,6
13,4
12,4
8,3
9,4
9,3
7,3
11,4
10,4
8,4
8,4
8,4
11,5
10,5
15,6
12,7
10,6
9,6
9,6
9,6
9,6
9,6
14,7
13,7
23,7
13,5
11,5
8,4
8,4
9,5
8,4
12,5
10,5
9,5
10,5
9,5
16,6
16,7
16,7
16,7
13,7
10,6
10,6
11,7
11,7
12,8
12,8
14,9
14,9
16,9
13,8
11,6
10,6
10,6
10,6
10,5
10,5
13,6
13,5
12,6
10,5
10,5
9,5
11,5
12,6
11,6
8,5
6,3
6,3
17,6
30,8
29,7
14,6
14,6
12,5
12,5
16,6
14,6
15,6
15,7
15,8
15,7
14,7
15,7
13,6
12,6
13,7
12,6
11,6
10,6
11,6
10,6
10,6
12,6
15,7
24,7
17,7
13,7
15,7
15,7
15,7
14,7
15,7
15,6
14,6
13,6
15,7
17,8
