PM10,PM2.5
10,5
10,4
9,5
9,5
12,6
21,11
13,6
11,6
12,7
12,6
16,11
10,5
9,5
9,5
10,5
12,6
14,6
11,5
11,5
10,4
9,4
11,5
14,5
8,3
10,4
11,5
11,5
14,6
14,7
12,7
7,3
5,3
7,5
6,4
9,6
5,3
5,3
6,3
7,3
9,4
9,4
8,2
11,3
11,3
11,3
12,3
11,2
10,2
7,2
6,2
8,2
8,3
7,2
6,2
6,3
6,3
5,3
7,4
8,5
8,5
12,8
14,8
12,6
16,7
15,5
11,4
11,4
12,4
12,4
10,4
12,4
10,3
8,3
10,3
12,4
11,5
15,6
14,6
14,7
15,9
18,11
24,19
26,22
17,14
19,15
12,8
10,6
10,5
12,6
12,6
12,6
13,5
20,6
10,5
10,4
11,5
9,4
11,5
12,6
13,6
13,6
11,6
15,7
14,9
14,9
15,10
13,9
16,12
17,13
14,10
14,10
14,9
15,11
17,10
16,9
16,7
18,7
16,7
15,6
15,6
15,7
14,7
13,7
13,7
22,8
10,4
6,3
7,5
6,4
6,4
11,8
10,7
10,7
11,6
14,7
17,8
20,8
22,9
23,10
23,12
20,10
19,10
18,8
20,8
20,8
20,9
19,9
16,8
18,9
16,9
14,9
18,10
14,9
12,8
14,9
12,8
13,8
15,9
20,10
17,9
17,8
17,9
20,10
17,9
20,10
22,11
18,6
8,3
