PM10,PM2.5
9,5
7,5
9,5
10,5
11,6
11,7
13,7
10,6
10,5
9,5
9,5
8,5
9,5
8,4
10,5
9,5
10,5
15,6
11,5
13,6
10,4
8,4
9,4
8,4
8,4
8,4
8,4
8,4
9,5
12,6
8,4
9,5
7,4
8,4
8,4
8,5
8,6
12,8
14,10
13,9
14,9
14,9
13,8
12,6
7,3
6,2
5,2
7,2
7,2
16,3
9,2
8,2
9,3
10,4
9,3
11,4
9,3
7,3
6,3
7,3
11,4
17,5
20,6
15,6
18,6
24,7
14,4
12,4
11,4
11,4
8,3
9,4
9,4
10,4
9,4
12,5
12,5
14,6
12,5
15,7
15,7
16,7
12,6
13,7
13,7
12,7
12,7
19,10
23,10
18,8
16,8
18,7
11,6
8,4
9,4
9,4
9,5
9,4
11,5
12,6
15,7
16,9
18,9
16,9
18,10
17,11
17,10
15,10
16,11
16,11
16,11
18,12
18,12
18,11
18,11
11,6
11,6
13,6
12,7
12,6
11,5
10,5
10,4
9,4
8,3
9,4
9,4
7,3
7,3
7,4
6,3
8,4
9,4
10,5
14,6
35,11
19,7
11,5
11,5
14,6
15,7
14,7
16,8
16,7
16,7
16,7
15,6
15,7
14,7
13,7
11,6
10,6
11,6
10,6
11,6
10,6
9,5
10,5
10,6
16,7
15,7
14,7
15,7
14,7
15,8
14,7
15,6
13,6
