PM10,PM2.5
5,3
7,4
7,4
10,5
12,5
11,5
10,5
8,5
8,5
7,4
7,5
8,5
13,6
11,6
11,6
14,6
14,7
11,6
10,5
9,5
8,5
8,4
9,4
6,3
9,4
9,4
13,5
11,5
12,6
15,7
7,3
8,2
8,2
10,2
11,3
10,3
7,2
8,2
6,3
7,3
7,3
7,2
13,3
3,2
3,2
2,2
2,2
3,2
4,2
4,2
4,2
4,2
8,3
11,4
12,4
12,4
8,3
9,3
16,4
12,4
9,4
15,5
10,4
12,5
17,5
27,7
20,6
8,3
7,3
5,3
5,2
6,3
7,3
9,4
7,4
11,5
17,6
17,7
17,7
11,6
9,5
9,5
8,5
8,5
8,5
7,5
10,5
10,6
10,5
13,6
10,5
10,5
8,4
8,5
8,5
7,5
8,5
9,5
10,5
21,8
22,8
16,7
12,7
12,7
10,6
10,6
9,6
9,6
10,7
10,6
10,6
11,7
14,7
15,8
13,8
12,7
12,7
13,7
12,6
11,6
13,6
12,6
12,6
11,6
11,5
10,5
12,5
12,5
10,4
8,4
8,4
8,4
7,4
8,4
9,5
11,5
15,5
11,5
10,5
16,6
17,6
13,7
15,7
14,8
15,8
14,8
14,7
13,7
13,7
17,7
28,8
22,8
14,7
16,7
13,7
12,7
11,7
11,7
14,8
23,9
42,11
19,8
14,8
16,8
17,8
17,8
15,7
13,6
