PM10,PM2.5
8,4
8,4
9,5
12,6
19,15
9,5
9,5
13,8
8,5
9,6
8,5
10,7
8,5
8,5
9,6
8,5
17,8
12,7
9,5
11,6
8,5
7,4
8,4
7,5
8,5
9,5
9,5
13,9
12,8
11,6
11,6
8,4
6,3
6,3
5,2
5,2
5,2
5,2
5,2
8,3
9,4
6,3
3,2
3,2
3,2
4,2
4,2
3,2
5,2
5,2
6,2
7,3
8,3
12,7
11,5
9,5
8,5
11,6
12,7
10,5
9,5
10,5
9,4
12,7
12,6
20,10
8,4
5,3
5,2
5,2
5,2
5,3
5,3
4,2
5,3
5,3
9,4
14,8
11,6
11,5
7,4
8,5
8,5
8,5
8,4
7,4
7,4
10,5
9,5
7,4
6,4
6,3
6,3
6,4
6,4
6,4
7,4
16,12
46,40
35,28
26,15
25,14
15,8
16,8
11,7
11,7
9,6
9,6
9,5
8,5
8,5
9,5
9,6
8,5
8,5
8,5
8,5
8,5
9,5
9,5
9,5
9,6
11,6
12,7
12,7
14,10
13,8
10,6
11,6
8,5
8,5
8,5
8,5
8,5
9,5
8,4
9,4
9,5
9,5
9,5
9,5
10,5
13,6
12,6
11,6
10,5
11,5
19,6
21,7
10,6
13,7
11,6
10,6
10,6
8,5
8,5
8,5
9,6
10,5
11,6
10,5
9,5
10,5
10,5
12,5
12,5
12,5
11,5
