PM10,PM2.5
11,4
10,4
10,5
9,5
9,5
8,5
7,4
5,3
6,4
7,4
10,5
14,6
16,6
15,5
13,5
9,5
11,5
9,5
11,5
8,3
10,4
11,4
9,4
8,5
9,5
9,5
11,6
7,4
7,5
7,5
7,6
7,5
5,4
7,5
6,4
10,6
13,6
8,4
17,6
10,6
8,5
8,5
12,8
13,10
18,14
15,11
13,9
11,5
9,4
11,6
11,7
7,4
7,4
5,3
5,2
5,2
8,6
7,4
6,3
12,5
18,5
16,4
11,4
6,3
6,2
5,2
6,2
6,2
6,2
5,2
7,2
6,2
11,3
15,3
8,4
8,4
9,5
8,4
8,4
7,4
7,4
7,4
7,4
10,5
14,5
12,6
13,6
12,6
11,6
14,8
14,7
11,5
12,4
13,5
12,5
12,6
17,7
13,8
14,9
15,9
16,9
16,8
14,8
14,8
14,8
14,9
12,8
16,11
19,11
19,11
18,11
18,9
15,8
13,7
12,6
13,7
11,6
7,3
8,4
15,5
8,4
10,5
12,6
9,5
9,6
8,5
7,5
7,5
7,5
8,5
9,5
12,6
10,5
10,5
11,6
10,6
11,7
15,7
14,7
13,7
12,6
11,6
11,6
11,6
11,6
11,6
12,6
11,6
9,5
10,6
9,6
9,6
11,7
12,7
11,7
10,7
12,7
11,7
14,7
13,7
17,7
15,6
16,6
22,6
14,5
11,5
12,6
13,7
