PM10,PM2.5
10,5
11,5
11,5
13,7
12,7
14,8
14,8
12,8
11,8
10,7
8,5
10,7
10,7
14,8
16,8
13,8
13,7
12,6
9,4
10,4
6,4
8,3
9,4
9,5
8,5
9,5
12,6
16,7
20,9
16,10
13,9
10,7
12,8
5,3
3,2
4,2
5,2
10,4
11,4
7,3
6,2
6,3
10,3
6,2
5,2
5,2
6,2
6,2
9,2
11,2
8,2
5,2
4,2
3,2
3,2
3,2
3,2
3,2
4,2
6,3
5,3
6,3
6,3
9,4
8,4
8,3
7,3
8,2
10,3
9,3
8,3
8,3
9,4
21,6
15,5
11,5
13,6
13,7
14,8
15,9
13,8
11,7
12,8
12,8
12,9
14,9
14,10
16,11
15,10
13,8
12,7
11,5
9,5
9,5
8,5
8,4
9,5
10,5
10,5
12,6
21,8
18,9
18,10
17,10
15,10
14,9
13,9
13,9
13,10
14,10
18,13
19,14
19,12
14,9
10,6
10,6
9,5
9,6
10,5
10,5
11,6
13,7
18,7
14,7
15,7
14,7
9,5
6,3
6,3
6,4
7,5
9,6
11,7
13,8
13,9
14,10
15,10
20,10
19,10
16,11
17,11
17,11
16,9
16,9
14,8
14,9
15,9
15,8
15,8
16,9
15,8
14,8
13,8
14,9
12,8
11,7
11,7
12,7
14,7
14,7
15,7
17,8
15,9
18,10
20,11
19,10
17,6
8,5
