PM10,PM2.5
6,3
6,4
7,4
6,3
7,3
7,3
8,3
7,3
7,3
7,3
7,3
9,3
12,4
8,3
7,3
8,4
6,4
9,6
8,4
6,4
23,9
9,5
11,5
13,6
12,6
6,3
4,2
6,3
5,3
6,3
5,3
5,3
5,3
7,4
6,3
8,4
15,10
9,5
12,8
8,5
4,2
2,2
3,2
3,2
4,2
5,2
5,2
4,2
5,2
4,3
5,3
7,3
7,3
6,3
8,3
8,4
7,3
10,5
13,5
17,7
13,5
14,6
8,4
8,4
8,3
8,4
9,4
10,4
9,4
8,4
10,5
11,6
15,8
13,7
15,8
13,8
12,8
11,7
11,7
11,7
10,7
10,6
10,6
12,7
11,6
15,8
17,8
12,6
11,5
9,5
8,5
8,4
10,5
10,5
12,5
16,8
15,8
17,8
15,9
16,10
15,9
15,10
14,9
13,9
12,9
13,9
13,9
12,8
13,9
14,10
15,10
15,10
14,9
12,8
14,7
15,7
14,7
15,8
26,9
15,8
15,7
21,7
12,6
11,6
12,7
12,7
12,8
21,17
13,8
14,9
20,10
27,11
20,11
15,9
15,8
11,5
14,6
17,7
17,9
17,10
17,8
19,9
16,9
17,9
15,9
13,7
12,7
14,8
13,8
12,7
13,7
13,8
13,8
11,7
11,7
28,18
19,9
19,10
18,10
19,10
16,8
16,8
14,7
17,10
18,10
14,7
12,6
13,6
