PM10,PM2.5
6,3
6,3
8,4
7,4
7,4
9,4
10,4
11,4
10,4
9,4
8,4
9,4
9,4
10,4
6,3
5,3
7,4
7,4
8,4
8,5
7,4
6,4
12,5
8,4
8,4
10,5
10,5
14,5
11,5
9,5
9,4
9,3
6,3
5,2
3,2
4,2
6,2
3,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
3,2
3,2
2,2
3,2
4,2
5,2
6,2
6,3
9,3
10,3
10,3
9,3
9,3
8,3
9,3
9,3
10,4
9,4
7,3
5,3
5,2
3,2
4,2
4,2
5,2
6,3
4,2
5,2
5,3
5,3
5,3
6,3
12,4
11,4
10,4
10,4
10,4
9,4
9,4
9,4
9,4
9,5
7,4
7,3
6,3
7,3
6,3
13,4
6,4
7,4
7,4
7,4
6,4
7,4
7,4
13,5
12,5
10,5
12,5
11,5
10,5
11,5
11,5
10,5
10,4
15,6
11,5
8,5
8,5
7,5
6,4
8,4
9,5
24,7
9,6
11,6
30,8
36,9
12,7
12,7
22,8
19,9
16,8
14,8
12,7
11,7
10,6
10,5
12,5
8,5
8,5
12,5
43,8
15,6
30,7
18,6
19,6
13,6
9,5
13,5
13,5
25,6
12,5
14,5
8,5
7,4
7,4
7,4
9,4
7,4
8,4
9,5
15,6
15,5
15,5
17,6
106,14
12,5
21,6
19,6
172,21
70,12
