PM10,PM2.5
7,4
8,4
8,4
10,5
11,6
11,7
10,7
9,7
10,7
15,10
18,11
13,9
10,7
11,7
13,8
14,8
12,6
10,6
9,5
7,4
6,4
8,4
7,4
8,5
8,5
9,5
10,6
12,7
12,8
9,5
6,3
6,3
7,4
6,4
6,4
7,4
7,4
9,5
9,5
9,5
8,5
8,3
7,3
6,2
16,4
11,4
7,2
6,2
5,2
6,2
7,2
6,2
5,2
5,2
8,3
5,3
5,3
5,3
5,3
6,4
7,4
8,5
9,5
10,6
8,5
9,4
7,3
6,3
6,3
6,3
7,3
7,3
6,3
6,3
9,4
10,6
13,7
16,10
14,9
11,8
10,8
9,7
9,7
10,7
11,8
11,8
13,9
16,12
12,8
11,7
10,6
6,4
6,4
6,3
7,4
8,4
8,4
8,5
8,6
9,6
11,6
14,8
15,10
15,10
15,10
14,9
13,9
12,9
13,9
14,9
14,9
12,8
11,7
10,6
9,5
10,6
9,6
9,6
10,6
10,6
10,6
11,7
11,6
10,6
12,7
14,7
7,4
6,4
6,4
7,4
7,4
7,5
10,5
11,6
16,9
19,9
15,8
18,9
15,8
12,7
13,8
15,8
16,8
16,8
18,9
15,8
15,8
15,8
15,9
15,8
13,7
14,7
12,7
12,7
12,7
11,7
11,7
12,8
16,10
17,9
15,7
15,8
16,9
16,8
17,8
17,8
16,9
15,6
