PM10,PM2.5
15,7
15,10
15,10
10,5
8,4
6,4
5,3
6,3
11,4
18,7
19,5
25,7
38,12
15,5
22,6
13,5
23,6
34,7
29,6
22,5
21,6
17,6
28,13
14,6
8,5
8,5
6,3
5,2
3,2
3,2
4,2
3,2
9,2
20,6
22,4
47,7
32,7
18,6
15,3
14,3
17,2
9,2
8,2
9,2
7,2
5,2
5,2
12,7
23,12
14,7
9,5
5,3
5,3
4,2
4,2
5,2
10,3
11,4
22,5
29,6
34,7
24,6
15,5
19,7
13,5
15,4
20,6
13,3
13,3
21,5
13,4
24,6
18,6
15,9
16,10
11,6
8,4
6,4
7,4
7,4
6,3
7,3
11,4
17,7
30,17
20,8
18,6
18,7
9,4
10,4
11,5
13,5
14,6
14,6
13,7
16,7
33,10
27,11
17,9
13,7
10,6
9,6
9,6
8,5
8,5
9,5
8,5
9,5
12,7
11,7
13,8
13,7
12,7
11,6
10,5
13,6
15,6
15,6
11,6
13,6
20,9
18,10
14,8
13,8
12,7
11,7
14,8
12,8
16,8
25,10
24,10
33,12
40,14
43,16
26,12
25,12
28,12
24,12
39,11
24,8
22,9
23,9
18,9
18,9
17,9
19,10
17,9
17,9
18,10
13,9
13,9
14,8
15,8
20,10
35,11
38,12
37,13
37,12
33,11
32,11
32,10
35,10
34,10
20,8
19,7
19,8
19,9
18,8
