PM10,PM2.5
7,4
10,5
14,6
9,5
9,6
10,6
11,6
10,6
11,7
12,7
17,7
19,7
12,5
8,4
9,5
9,5
9,5
8,5
6,4
7,4
6,4
7,4
7,4
9,5
10,5
6,4
6,4
5,3
5,2
4,2
5,2
5,2
5,2
5,2
8,2
12,3
6,2
6,2
7,2
5,2
4,2
5,2
3,2
6,2
4,2
4,2
5,2
4,2
8,4
9,4
7,3
5,3
11,6
12,7
11,7
7,4
7,4
8,4
9,4
14,5
16,5
18,6
21,9
8,3
11,5
8,4
5,3
9,4
9,4
7,4
6,4
7,4
9,5
13,6
13,6
11,6
13,7
12,8
11,7
10,7
11,7
11,7
13,8
14,7
14,7
13,6
12,6
11,6
10,5
8,5
8,5
8,5
8,5
8,5
9,5
8,5
12,7
17,8
17,8
17,9
14,7
13,7
12,8
13,8
12,9
13,8
16,10
16,10
20,12
18,12
15,10
10,6
10,6
8,6
9,6
10,6
10,5
10,6
10,5
11,6
10,5
10,5
11,5
15,7
12,6
13,7
11,7
11,6
7,4
11,5
21,7
12,6
10,5
11,5
10,5
12,6
14,6
15,7
15,7
15,8
16,8
15,8
13,8
14,7
13,7
12,6
12,7
13,7
13,7
12,6
11,6
11,6
10,6
12,7
11,7
12,7
12,7
13,7
16,7
16,8
18,8
15,8
18,8
14,7
14,7
14,7
15,7
15,8
